Site,Type,NO3,SO2,P,NO2,NH3,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH
U15,1,0.380211242,1.643452676,0.112269768,-2.096910013,-1.602059991,1.312811826,1.570796327,0.158780215,2.049799278,1.375663614,0.910090546
U16,1,0.096910013,1.190331698,-0.638272164,-1.795880017,-1.187086643,1.342027688,1.570796327,0.070769737,2.022840611,1.436957331,0.934750875
U17,1,0.204119983,1.322219295,0.144574208,-0.59345982,-0.038578906,1.62324929,0.835481874,1.209429203,1.8283376,1.416640507,0.872738827
U18,1,-0.022276395,0.886208624,0.916453949,-1.732828272,-0.552841969,1.230448921,1.570796327,0.225513406,1.883093359,1.394451681,0.902818468
U19,1,-0.522878745,0.602059991,-1.346787486,-2.522878745,-0.853871964,1.525044807,1.29339081,0.361367124,2.003245055,1.425697213,0.929163383
U20,1,-0.259637311,1.531478917,0.16879202,-2.522878745,-1,1.414973348,1.345282921,0,2.337459261,1.39707055,0.90118578
U21,1,-1.259637311,1.84509804,0.122215878,-2.301029996,-1.455931956,1.214578954,1.107148718,0.552015494,2.692846919,1.42975228,0.939519253
U22,1,-0.022276395,1.511883361,0.397940009,-1.903089987,-0.619788758,1.739176632,1.570796327,0.100167421,2.06595298,1.432969291,0.914871818
U23,1,-0.522878745,1.612783857,-0.142667504,-2.124938737,-0.853871964,1.635986112,1.323329264,0.100167421,2.034427905,1.403977964,0.926085087
U24,1,0.278753601,1.389166084,0.130333768,-1.838631998,-0.585026652,1.42078062,1.570796327,0.633051836,2.003029471,1.439332694,0.919862254
U25,1,0.301029996,1.740362689,0.397940009,-2.698970004,-1.397940009,0.976808337,1.570796327,1.107148718,2.539076099,1.387389826,0.867467488
U26,1,-0.096910013,1.531478917,-0.080921908,-2.301029996,-0.721246399,1.354108439,1.570796327,0.93774449,2.086359831,1.409933123,0.897627091
S1,2,-0.115393419,1.84509804,-0.728933228,-2.273001272,-0.651046452,2.25860536,0.955316618,1.128324646,0.490894459,1.436692598,0.884984065
S2,2,0.550228353,1.84509804,0.165837625,-1.823908741,-1.096910013,1.833433996,1.047197551,0.785398163,0.773420723,1.433769834,0.88337749
F1,3,-0.522878745,1.84509804,0.139879086,-1.958607315,-1.397940009,1.146128036,0.835481874,0.321750554,0.790988475,0.444044796,0.893206753
S3,2,-0.397940009,1.84509804,-0.193820026,-2.22184875,-1.397940009,1.408239965,1.570796327,1.570796327,2.999565488,1.488550717,0.899820502
F2,3,-0.22184875,1.84509804,-1.397940009,-2,-2,0.539076099,1.570796327,0.463647609,2.999565488,1.445604203,0.922725458
S4,2,0.230448921,1.84509804,0.342422681,-2.698970004,-2,0.750508395,1.570796327,0.93774449,0,1.419955748,0.873901598
F3,3,0,1.84509804,-0.920818754,-1.15490196,-2,0.478566496,1.570796327,0.100167421,2.999565488,1.530199698,0.92992956
F4,3,0.161368002,1.643452676,-0.474955193,-1.259637311,-2,0.604226053,0.886077124,0,2.826074803,1.399673721,0.919862254
P1,4,-0.301029996,0.301029996,0.397940009,-2.698970004,-1.522878745,0.727541257,1.570796327,1.570796327,2.309630167,1.40654018,0.862131379
P2,4,-0.522878745,0.477121255,0.397940009,-1.958607315,-0.537602002,1.625312451,1.570796327,1.570796327,2.267171728,1.408239965,0.844477176
P3,4,-0.522878745,0.301029996,-0.13076828,-2.698970004,-0.301029996,3,1.570796327,1.570796327,2.071882007,1.383815366,0.882524538
P4,4,0.986771734,1.447158031,0.397940009,-1.823908741,-1.301029996,1.068185862,1.570796327,1.570796327,1.945960704,1.281033367,0.875061263
P5,4,-0.522878745,0.301029996,0.397940009,-3,-1.522878745,0.756636108,1.570796327,1.570796327,2.193124598,1.385606274,0.843232778
P6,4,1.053078443,0.602059991,0.397940009,-1.886056648,-0.301029996,2.661812686,1.570796327,1.570796327,2.164352856,1.359835482,0.937517892
P7,4,0.944482672,1.84509804,0.397940009,-1.920818754,-1.301029996,1.356025857,1.570796327,1.570796327,1.984077034,1.36361198,0.877371346
P8,4,-0.522878745,0.301029996,-0.055517328,-2.698970004,-0.568636236,2.176091259,0.321750554,0.93774449,1.992111488,1.514547753,0.922206277
P9,4,0.62324929,0.698970004,0.397940009,-1.397940009,-0.602059991,2.133538908,1.570796327,1.570796327,2.11058971,1.477121255,0.866877814
P10,4,0.255272505,0.698970004,0.397940009,-2.22184875,-1.301029996,0.558708571,1.570796327,1.107148718,2.167317335,1.403120521,1.146128036
P11,4,0.146128036,0.954242509,0.397940009,-2.397940009,-1.522878745,1.041392685,1.570796327,1.173096912,2.012837225,1.408239965,0.856124444
P12,4,-0.22184875,0.301029996,0.411619706,-2.698970004,-1.698970004,0.604226053,1.570796327,1.047197551,2.117271296,1.432969291,0.888740961
P13,4,-0.522878745,0.301029996,0.117271296,-2.698970004,-0.301029996,2.822168079,1.570796327,1.249045772,1.918554531,1.428134794,0.88592634
